Nom,Superficie,Population(2021)
Villeray–Saint-Michel–Parc-Extension,"16,5",145 090
Ville-Marie,"16,5",104 944
Verdun,"9,7",70 377
Saint-Léonard,"13,5",79 495
Saint-Laurent,"42,8",102 104
Rosemont–La Petite-Patrie,"15,9",141 813
Rivière-des-Prairies–Pointe-aux-Trembles,"42,3",107 941
Pierrefonds-Roxboro,"27,1",70 382
Outremont,"3,9",24 629
Montréal-Nord,"11,1",88 471
Mercier–Hochelaga-Maisonneuve,"25,4",140 627
L'Île-Bizard–Sainte-Geneviève,"23,6",18 885
Le Sud-Ouest,"15,7",84 553
Le Plateau-Mont-Royal,"8,1",105 813
LaSalle,"16,3",82 235
Lachine,"17,7",46 428
Côte-des-Neiges–Notre-Dame-de-Grâce,"21,4",170 583
Anjou,"13,7",43 243
Ahuntsic-Cartierville,"24,2",135 336
Westmount,"4,04",19 658
Mont-Royal,"7,55",20 953
Laval,"246,13",438 366
Longueuil,"115,77",254 483
